Loading mesh: mug.obj
7110 198 198
2156 216 216
2157 217 217
7108 197 197
7109 196 196
2157 217 217
2158 218 218
4216 219 219
7108 197 197
2158 218 218
144 220 220
4215 221 221
7101 190 190
7108 197 197
4216 219 219
4214 222 222
7094 183 183
7101 190 190
4215 221 221
4213 223 223
7087 176 176
7094 183 183
4214 222 222
4212 224 224
7080 169 169
7087 176 176
4213 223 223
4211 225 225
7073 157 157
7080 169 169
4212 224 224
4210 203 203
7066 154 154
7073 157 157
4211 225 225
7115 226 226
7116 227 227
7123 228 228
7122 229 229
7116 227 227
7117 230 230
7124 231 231
7123 228 228
7117 230 230
7118 232 232
7125 233 233
7124 231 231
7118 232 232
7119 234 234
7126 235 235
7125 233 233
7119 234 234
7120 236 236
7127 237 237
7126 235 235
7120 236 236
7121 238 238
7128 239 239
7127 237 237
7122 229 229
7123 228 228
7130 240 240
7129 241 241
7123 228 228
7124 231 231
7131 242 242
7130 240 240
7124 231 231
7125 233 233
7132 243 243
7131 242 242
7125 233 233
7126 235 235
7133 244 244
7132 243 243
7126 235 235
7127 237 237
7134 245 245
7133 244 244
7127 237 237
7128 239 239
7135 246 246
7134 245 245
7129 241 241
7130 240 240
7137 247 247
7136 248 248
7130 240 240
7131 242 242
7138 249 249
7137 247 247
7131 242 242
7132 243 243
7139 250 250
7138 249 249
7132 243 243
7133 244 244
7140 251 251
7139 250 250
7133 244 244
7134 245 245
7141 252 252
7140 251 251
7134 245 245
7135 246 246
7142 253 253
7141 252 252
7136 248 248
7137 247 247
7144 254 254
7143 255 255
7137 247 247
7138 249 249
7145 256 256
7144 254 254
7138 249 249
7139 250 250
7146 257 257
7145 256 256
7139 250 250
7140 251 251
7147 258 258
7146 257 257
7140 251 251
7141 252 252
7148 259 259
7147 258 258
7141 252 252
7142 253 253
7149 260 260
7148 259 259
7143 255 255
7144 254 254
7151 261 261
7150 262 262
7144 254 254
7145 256 256
7152 263 263
7151 261 261
7145 256 256
7146 257 257
7153 264 264
7152 263 263
7146 257 257
7147 258 258
7154 265 265
7153 264 264
7147 258 258
7148 259 259
7155 266 266
7154 265 265
7148 259 259
7149 260 260
7156 267 267
7155 266 266
7150 262 262
7151 261 261
7158 268 268
7157 269 269
7151 261 261
7152 263 263
7159 270 270
7158 268 268
7152 263 263
7153 264 264
7160 271 271
7159 270 270
7153 264 264
7154 265 265
7161 272 272
7160 271 271
7154 265 265
7155 266 266
7162 273 273
7161 272 272
7155 266 266
7156 267 267
7163 274 274
7162 273 273
144 220 220
2158 218 218
7115 226 226
4175 275 275
2158 218 218
2157 217 217
7116 227 227
7115 226 226
2157 217 217
2156 216 216
7117 230 230
7116 227 227
2156 216 216
2155 215 215
7118 232 232
7117 230 230
2155 215 215
2154 214 214
7119 234 234
7118 232 232
2154 214 214
2153 213 213
7120 236 236
7119 234 234
2153 213 213
2152 212 212
7121 238 238
7120 236 236
2152 212 212
8 211 211
562 276 276
7121 238 238
7121 238 238
562 276 276
561 277 277
7128 239 239
7128 239 239
561 277 277
560 278 278
7135 246 246
7135 246 246
560 278 278
559 279 279
7142 253 253
7142 253 253
559 279 279
558 280 280
7149 260 260
7149 260 260
558 280 280
557 281 281
7156 267 267
7156 267 267
557 281 281
556 282 282
7163 274 274
7163 274 274
556 282 282
10 283 283
2187 284 284
7162 273 273
7163 274 274
2187 284 284
2188 285 285
7161 272 272
7162 273 273
2188 285 285
2189 286 286
7160 271 271
7161 272 272
2189 286 286
2190 287 287
7159 270 270
7160 271 271
2190 287 287
2191 288 288
7158 268 268
7159 270 270
2191 288 288
2192 289 289
7157 269 269
7158 268 268
2192 289 289
2193 290 290
4181 291 291
7157 269 269
2193 290 290
149 292 292
4180 293 293
7150 262 262
7157 269 269
4181 291 291
4179 294 294
7143 255 255
7150 262 262
4180 293 293
4178 295 295
7136 248 248
7143 255 255
4179 294 294
4177 296 296
7129 241 241
7136 248 248
4178 295 295
4176 297 297
7122 229 229
7129 241 241
4177 296 296
4175 275 275
7115 226 226
7122 229 229
4176 297 297
7164 298 298
7165 299 299
7172 300 300
7171 301 301
7165 299 299
7166 302 302
7173 303 303
7172 300 300
7166 302 302
7167 304 304
7174 305 305
7173 303 303
7167 304 304
7168 306 306
7175 307 307
7174 305 305
7168 306 306
7169 308 308
7176 309 309
7175 307 307
7169 308 308
7170 310 310
7177 311 311
7176 309 309
7171 301 301
7172 300 300
7179 312 312
7178 313 313
7172 300 300
7173 303 303
7180 314 314
7179 312 312
7173 303 303
7174 305 305
7181 315 315
7180 314 314
7174 305 305
7175 307 307
7182 316 316
7181 315 315
7175 307 307
7176 309 309
7183 317 317
7182 316 316
7176 309 309
7177 311 311
7184 318 318
7183 317 317
7178 313 313
7179 312 312
7186 319 319
7185 320 320
7179 312 312
7180 314 314
7187 321 321
7186 319 319
7180 314 314
7181 315 315
7188 322 322
7187 321 321
7181 315 315
7182 316 316
7189 323 323
7188 322 322
7182 316 316
7183 317 317
7190 324 324
7189 323 323
7183 317 317
7184 318 318
7191 325 325
7190 324 324
7185 320 320
7186 319 319
7193 326 326
7192 327 327
7186 319 319
7187 321 321
7194 328 328
7193 326 326
7187 321 321
7188 322 322
7195 329 329
7194 328 328
7188 322 322
7189 323 323
7196 330 330
7195 329 329
7189 323 323
7190 324 324
7197 331 331
7196 330 330
7190 324 324
7191 325 325
7198 332 332
7197 331 331
7192 327 327
7193 326 326
7200 333 333
7199 334 334
7193 326 326
7194 328 328
7201 335 335
7200 333 333
7194 328 328
7195 329 329
7202 336 336
7201 335 335
7195 329 329
7196 330 330
7203 337 337
7202 336 336
7196 330 330
7197 331 331
7204 338 338
7203 337 337
7197 331 331
7198 332 332
7205 339 339
7204 338 338
7199 334 334
7200 333 333
7207 340 340
7206 341 341
7200 333 333
7201 335 335
7208 342 342
7207 340 340
7201 335 335
7202 336 336
7209 343 343
7208 342 342
7202 336 336
7203 337 337
7210 344 344
7209 343 343
7203 337 337
7204 338 338
7211 345 345
7210 344 344
7204 338 338
